coverage	n
2513	1
2514	1
2515	5
2516	3
2517	1
2518	1
2519	2
2520	2
2521	2
2522	2
2523	2
2524	1
2525	1
2526	3
2527	9
2528	8
2529	4
2530	14
2531	5
2532	5
2533	10
2534	11
2535	3
2536	5
2537	1
2538	0
2539	0
2540	0
2541	0
2542	0
2543	0
2544	0
2545	0
2546	0
2547	0
2548	1
2549	1
2550	0
2551	0
2552	0
2553	0
2554	0
2555	0
2556	0
2557	0
2558	0
2559	0
2560	0
2561	0
2562	2
2563	2
2564	0
2565	0
2566	0
2567	0
2568	1
2569	0
2570	1
2571	0
2572	2
2573	3
2574	2
2575	0
2576	7
2577	3
2578	0
2579	3
2580	0
2581	2
2582	1
2583	2
2584	5
2585	1
2586	0
2587	2
2588	5
2589	1
2590	3
2591	1
2592	2
2593	4
2594	4
2595	1
2596	1
2597	3
2598	3
2599	2
2600	1
2601	1
2602	3
2603	0
2604	2
2605	2
2606	1
2607	0
2608	4
2609	0
2610	2
2611	0
2612	2
2613	2
2614	2
2615	2
2616	9
2617	6
2618	12
2619	10
2620	7
2621	18
2622	8
2623	17
2624	20
2625	14
2626	13
2627	6
2628	7
2629	4
2630	5
2631	3
2632	2
2633	0
2634	0
2635	0
2636	0
2637	0
2638	0
2639	0
2640	0
2641	0
2642	0
2643	1
2644	0
2645	0
2646	0
2647	0
2648	0
2649	0
2650	2
2651	0
2652	0
2653	0
2654	0
2655	0
2656	0
2657	0
2658	0
2659	0
2660	0
2661	0
2662	0
2663	0
2664	0
2665	0
2666	2
2667	5
2668	7
2669	3
2670	2
2671	1
2672	7
2673	4
2674	1
2675	3
2676	2
2677	4
2678	1
2679	0
2680	0
2681	3
2682	1
2683	0
2684	1
2685	1
2686	1
2687	0
2688	0
2689	1
2690	1
2691	0
2692	0
2693	0
2694	0
2695	1
2696	2
2697	0
2698	0
2699	0
2700	0
2701	0
2702	1
2703	0
2704	0
2705	2
2706	1
2707	0
2708	1
2709	1
2710	0
2711	1
2712	0
2713	0
2714	0
2715	0
2716	1
2717	1
2718	0
2719	1
2720	0
2721	0
2722	3
2723	12
2724	6
2725	2
2726	0
2727	9
2728	8
2729	3
2730	6
2731	0
2732	0
2733	1
2734	3
2735	3
2736	3
2737	1
2738	0
2739	1
2740	4
2741	0
2742	4
2743	1
2744	2
2745	18
2746	0
2747	8
2748	0
2749	2
2750	1
2751	1
2752	1
2753	3
2754	19
2755	6
2756	13
2757	15
2758	9
2759	17
2760	20
2761	21
2762	7
2763	12
2764	5
2765	11
2766	8
2767	20
2768	18
2769	1
2770	6
2771	7
2772	2
2773	4
2774	0
2775	2
2776	1
2777	0
2778	0
2779	1
2780	0
2781	0
2782	1
2783	0
2784	0
2785	0
2786	0
2787	0
2788	0
2789	0
2790	0
2791	0
2792	2
2793	2
2794	0
2795	0
2796	0
2797	3
2798	2
2799	3
2800	3
2801	2
2802	2
2803	4
2804	2
2805	1
2806	0
2807	0
2808	0
2809	1
2810	0
2811	1
2812	0
2813	0
2814	0
2815	1
2816	0
2817	0
2818	0
2819	0
2820	1
2821	0
2822	0
2823	0
2824	1
2825	3
2826	0
2827	0
2828	1
2829	0
2830	1
2831	0
2832	2
2833	1
2834	0
2835	0
2836	0
2837	0
2838	0
2839	0
2840	2
2841	0
2842	2
2843	0
2844	1
2845	4
2846	3
2847	6
2848	6
2849	7
2850	2
2851	8
2852	3
2853	0
2854	0
2855	4
2856	3
2857	3
2858	0
2859	0
2860	0
2861	0
2862	0
2863	0
2864	0
2865	0
2866	0
2867	0
2868	0
2869	0
2870	1
2871	0
2872	0
2873	0
2874	0
2875	0
2876	0
2877	0
2878	3
2879	2
2880	2
2881	1
2882	5
2883	3
2884	3
2885	0
2886	5
2887	2
2888	1
2889	5
2890	1
2891	0
2892	4
2893	1
2894	4
2895	2
2896	17
2897	10
2898	3
2899	0
2900	0
2901	0
2902	7
2903	4
2904	6
2905	9
2906	4
2907	4
2908	4
2909	5
2910	5
2911	9
2912	3
2913	6
2914	3
2915	9
2916	1
2917	0
2918	2
2919	3
2920	1
2921	5
2922	0
2923	0
2924	1
2925	0
2926	2
2927	1
2928	2
2929	0
2930	0
2931	0
2932	2
2933	0
2934	1
2935	0
2936	0
2937	0
2938	0
2939	1
2940	0
2941	0
2942	0
2943	1
2944	0
2945	0
2946	0
2947	0
2948	1
2949	2
2950	0
2951	0
2952	2
2953	0
2954	0
2955	1
2956	2
2957	1
2958	0
2959	0
2960	2
2961	0
2962	1
2963	2
2964	7
2965	6
2966	11
2967	20
2968	0
2969	0
2970	3
2971	0
2972	0
2973	0
2974	1
2975	7
2976	4
2977	4
2978	0
2979	0
2980	0
2981	2
2982	0
2983	0
2984	0
2985	0
2986	0
2987	0
2988	0
2989	0
2990	0
