coverage	n
2391	12
2392	7
2393	9
2394	18
2395	8
2396	4
2397	2
2398	2
2399	3
2400	0
2401	1
2402	2
2403	3
2404	4
2405	2
2406	5
2407	7
2408	6
2409	3
2410	3
2411	2
2412	1
2413	1
2414	2
2415	3
2416	7
2417	3
2418	1
2419	3
2420	2
2421	0
2422	3
2423	4
2424	9
2425	2
2426	4
2427	3
2428	1
2429	1
2430	4
2431	0
2432	2
2433	0
2434	0
2435	2
2436	1
2437	1
2438	1
2439	4
2440	0
2441	2
2442	0
2443	5
2444	6
2445	2
2446	3
2447	5
2448	3
2449	6
2450	5
2451	9
2452	5
2453	3
2454	5
2455	4
2456	3
2457	20
2458	10
2459	10
2460	16
2461	20
2462	4
2463	11
2464	12
2465	16
2466	0
2467	9
2468	6
2469	10
2470	0
2471	2
2472	2
2473	3
2474	5
2475	2
2476	4
2477	2
2478	3
2479	2
2480	4
2481	1
2482	1
2483	0
2484	1
2485	2
2486	2
2487	0
2488	4
2489	1
2490	1
2491	3
2492	3
2493	3
2494	1
2495	2
2496	2
2497	2
2498	2
2499	12
2500	9
2501	7
2502	2
2503	5
2504	5
2505	0
2506	1
2507	2
2508	5
2509	5
2510	10
2511	14
2512	7
2513	8
2514	6
2515	13
2516	3
2517	2
2518	1
2519	0
2520	1
2521	1
2522	1
2523	1
2524	0
2525	1
2526	1
2527	2
2528	1
2529	0
2530	1
2531	0
2532	5
2533	4
2534	1
2535	0
2536	1
2537	3
2538	1
2539	1
2540	6
2541	2
2542	2
2543	4
2544	4
2545	5
2546	4
2547	3
2548	2
2549	3
2550	3
2551	3
2552	1
2553	2
2554	3
2555	3
2556	5
2557	0
2558	0
2559	0
2560	4
2561	1
2562	1
2563	0
2564	3
2565	3
2566	2
2567	2
2568	0
2569	1
2570	1
2571	0
2572	0
2573	1
2574	2
2575	5
2576	0
2577	2
2578	1
2579	0
2580	0
2581	0
2582	0
2583	1
2584	1
2585	1
2586	2
2587	1
2588	0
2589	1
2590	0
2591	3
2592	5
2593	2
2594	1
2595	2
2596	0
2597	7
2598	2
2599	1
2600	5
2601	3
2602	4
2603	7
2604	7
2605	3
2606	4
2607	2
2608	6
2609	6
2610	7
2611	6
2612	1
2613	6
2614	6
2615	10
2616	8
2617	7
2618	8
2619	4
2620	2
2621	6
2622	8
2623	10
2624	11
2625	8
2626	10
2627	7
2628	9
2629	4
2630	1
2631	3
2632	2
2633	0
2634	2
2635	7
2636	4
2637	1
2638	1
2639	5
2640	6
2641	2
2642	1
2643	2
2644	2
2645	0
2646	2
2647	3
2648	1
2649	4
2650	7
2651	0
2652	0
2653	3
2654	3
2655	1
2656	4
2657	1
2658	0
2659	2
2660	2
2661	2
2662	9
2663	4
2664	1
2665	6
2666	0
2667	1
2668	0
2669	2
2670	0
2671	3
2672	4
2673	3
2674	4
2675	2
2676	2
2677	1
2678	0
2679	1
2680	0
2681	0
2682	2
2683	1
2684	0
2685	1
2686	2
2687	0
2688	4
2689	10
2690	6
2691	7
2692	6
2693	5
2694	3
2695	3
2696	0
2697	3
2698	0
2699	0
2700	0
2701	0
2702	1
2703	5
2704	0
2705	3
2706	0
2707	0
2708	7
2709	0
2710	1
2711	0
2712	1
2713	0
2714	2
2715	0
2716	1
2717	3
2718	1
2719	1
2720	2
2721	1
2722	1
2723	0
2724	3
2725	1
2726	2
2727	2
2728	2
2729	2
2730	2
2731	2
2732	2
2733	3
2734	0
2735	1
2736	0
2737	0
2738	2
2739	1
2740	2
2741	2
2742	2
2743	2
2744	4
2745	3
2746	3
2747	3
2748	1
2749	1
2750	0
2751	0
2752	1
2753	1
2754	2
2755	0
2756	2
2757	2
2758	0
2759	2
2760	2
2761	4
2762	1
2763	0
2764	2
2765	4
2766	2
2767	13
2768	3
2769	5
2770	21
2771	11
2772	12
2773	10
2774	7
2775	9
2776	7
2777	1
2778	12
2779	6
2780	4
2781	11
2782	5
2783	1
2784	1
2785	4
2786	2
2787	4
2788	8
2789	1
2790	0
2791	2
2792	1
2793	1
2794	3
2795	1
2796	3
2797	1
2798	0
2799	2
2800	0
2801	1
2802	0
2803	2
2804	2
2805	2
2806	3
2807	3
2808	0
2809	4
2810	3
2811	6
2812	5
2813	4
2814	3
2815	1
2816	7
2817	9
2818	10
2819	12
2820	18
2821	15
2822	4
2823	3
2824	1
2825	2
2826	5
2827	6
2828	3
2829	1
2830	1
2831	0
2832	2
2833	0
2834	1
2835	2
2836	1
2837	3
2838	0
2839	1
2840	2
2841	1
2842	1
2843	1
2844	1
2845	5
2846	2
2847	2
2848	0
2849	0
2850	1
2851	16
2852	3
2853	5
2854	5
2855	4
2856	11
2857	5
2858	6
2859	9
2860	3
2861	12
2862	0
2863	0
2864	0
2865	0
2866	0
2867	0
2868	1
2869	0
2870	0
2871	0
2872	0
2873	1
2874	0
2875	0
2876	1
2877	0
2878	0
2879	1
2880	0
2881	0
2882	0
2883	1
2884	0
2885	0
2886	1
2887	1
2888	1
2889	0
2890	1
2891	0
2892	2
2893	0
2894	0
2895	1
2896	1
2897	0
2898	1
2899	0
2900	0
2901	1
2902	1
2903	1
2904	2
2905	1
2906	0
2907	1
2908	2
2909	1
2910	3
2911	8
2912	4
2913	25
2914	15
2915	8
2916	6
2917	6
2918	6
2919	7
2920	7
2921	3
2922	8
2923	2
2924	5
2925	7
2926	2
2927	3
2928	2
2929	9
2930	8
2931	3
2932	6
2933	6
2934	3
2935	4
2936	1
2937	0
2938	2
2939	2
2940	4
2941	3
2942	1
2943	0
2944	2
2945	10
2946	6
2947	3
2948	2
2949	3
2950	7
2951	3
2952	3
2953	6
2954	2
2955	3
2956	0
2957	3
2958	5
2959	7
2960	0
2961	4
2962	5
2963	2
2964	1
2965	2
2966	11
2967	0
2968	4
2969	4
2970	7
2971	10
2972	11
2973	6
2974	5
2975	6
2976	5
2977	1
2978	0
2979	0
2980	0
2981	0
2982	2
2983	3
2984	1
2985	1
2986	5
2987	2
2988	1
2989	5
2990	4
2991	4
2992	9
2993	1
